ANIO,PERIODO,PROVEEDOR,RUC,MONTO_PENALIDAD,MONTO_TOTAL_CONTRATO,ARCHIVO
2013,TRIM 4,SERVICIOS GENERALES RIKAR S.A.C,20492776018,47.04,1512.94,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,TRANSPORTES PAJUELO Y CIA S.R.L.LTDA,20301306181,5450.0,327040.0,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,CHERY: SERV.GENERALES - IMPORT Y EXPORT. DE MAQUINARIAS S.A.C,20547955308,15999.5,159995.0,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,FURSYS S.A.,20269863626,18.79,9605.02,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,INVERSIONES FONTENLA S.A.C,20506539944,2026.96,60808.72,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,IDENTITRONICS S.A.C,20348217551,11.66,8028.72,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,ROJO ELECTRONICS E.I.R.L,20333224021,3436.0,85900.0,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2013,TRIM 4,TECNIASES S.A.,20256998743,24.15,8909.0,D_MIS DOCUMENTOSFONAFE 2013LOGISTICAIV TRIMESTREPA_IVtrim2013.xls
2014,TRIM 1,TELEFONICA DELPERU,20100017491,637.9,4417800.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,SERVICIO DE VIGILANCIA SEGURIDAD DE LA SEGURIDAD CIVIL (AVSEC),20524246580,14900.0,7020000.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,RECSOL  S.R.L.,20433955057,49.21,7552.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,DP COMUNICACIONES  S.A.C.,20510709099,49.21,44900.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,TELEFONICA DELPERU,20100017491,680.65,4417800.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,NETWORKS AQND SYSTEMS CONSULTORIA EN INFORMATICA,20504028781,490.0,19600.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,IBM DEL PERU S.A.,20100075009,84.45,4191521.46,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,TRANSPORTES KOOCHOY,20259345392,605.25,1452640.81,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,SERVICIOS TIME S.A.C.,20513441623,1.36,3000.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,TELEFONICA DELPERU,20100017491,305.16,4417800.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,SERVICIO DE VIGILANCIA SEGURIDAD DE LA SEGURIDAD CIVIL (AVSEC),20524246580,106400.0,7020000.0,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
2014,TRIM 1,COLOR COMPUTER E.I.R.L.,20506730148,0.42,5462.16,D_MIS DOCUMENTOSFONAFE 2014GLPA_Itrim2014.xls
