NOMBRE_ORIGINAL,NOMBRE_CANONICO
EXCEL PRODUCTS S.A.,AIR PRODUCTS DEL PERU S.A.C.
JRM SOLUTIONS PERU E.I.R.L.,ALL BUSINESS SELECT SOLUTIONS SAC
AMEZAGA ARELLANO S.A.C. INGENIEROS,AMEZAGA ARELLANO SAC INGENIEROS
BOINAS DORADAS S.A.C,BOINAS DORADAS
BOINAS DORADAS S.A.C.,BOINAS DORADAS
CHERY IMPORTACIONES SAC,CHERY IMPORTACIONES S.A.C
AMERICATEL PERU SA,COATEL S.A.
CONSORCIO CYMCO,CONSORCIO CONTACOM SAC
CONSORCIO DOLMEN,CONSORCIO LOS OLIVOS
CONSORCIO AI INVERSIONES PALO ALTO II S.A.C.,CONSORCIO MORGAN DEL ORIENTE SAC- ARSENAL SECURITY SAC
CONSORCIO AL INVERSIONES PALO ALTO II S.A.C. - ADEXUS PERU S.A.,CONSORCIO MORGAN DEL ORIENTE SAC- ARSENAL SECURITY SAC
CONSORCIO MORGAN DEL ORIENTE S.A.C.- ARSENAL SECURITY S.A.C.,CONSORCIO MORGAN DEL ORIENTE SAC- ARSENAL SECURITY SAC
CONSORCIO ALBA S.A.C,CONSORCIO MORGAN DEL ORIENTE SAC- ARSENAL SECURITY SAC
NEW GROUP GLOBAL DE SERVICIOS GENERALES S.A.C.,CONSORCIO: NEW GROUP GLOBAL DE SERVICIOS GENERALES S.A.C. – E&A SERVICIOS AFINES S.R.L.
COPISERVICE E.I.R.L.,COPISERVICE EIRL
Consorcio Xperta Gestión Empresarial SAC - Proyecta Corporation,CORPORACIÓN EMPRESARIAL C&Z S.A.C.
DIMERC PERU SAC,DIMERC PERU S.A.C.
DISTRIBUIDORA CUMMINS PERU S.A.C.,DISTRIBUIDORA CUMMINS PERÚ S.A.C.
E2 TEAM  SERVICIOS SAC,E2 TEAM Y SERVICIOS SAC
CONSORCIO E2 TEAM & ASOCIADOS,E2 TEAM Y SERVICIOS SAC
E2 TEAM & SERVICIOS SAC,E2 TEAM Y SERVICIOS SAC
CONSORCIO E2 TEAM ASOCIADOS,E2 TEAM Y SERVICIOS SAC
E2 TEAM SERVICIOS SAC,E2 TEAM Y SERVICIOS SAC
EMPRESA DE TRANSPORTES TURÍSTICO MAVI TOURS E.I.R.L.,EMP. DE TRANSPORTE TURISTICO MAVI TOURS EIRL
JTR CONSULTORES EIRL,ERNST Y YOUNG CONSULTORES S CIVIL DE RL
C & F CONSULT S.A.C.,ERNST Y YOUNG CONSULTORES S CIVIL DE RL
RCR CONSULTORES SAC,ERNST Y YOUNG CONSULTORES S CIVIL DE RL
CONSULTORES LEON & SILVA SAC,ERNST Y YOUNG CONSULTORES S CIVIL DE RL
IMV CONSULTORES S.A.C,ERNST Y YOUNG CONSULTORES S CIVIL DE RL
FIBERLUX S.A.C,FIBERLUX SAC
"CONSORCIO OSHKOSH AIRPORT PRODUCTS, LLC FIREMED SAC",FIREMED SAC
CONSORCIO OSHKOSH AIRPORT PRODUCTS LLC - FIREMED SAC,FIREMED SAC
OSHKOSH AIRPORT PRODUCTS LLC – FIREMED S.A.C.,FIREMED SAC
"CONSORCIO OSHKOSH AIRPORT PRODUCTS, LLC FIREMED S.A.C.",FIREMED SAC
G4S PERU SAC,G4S PERU S.A.C.
GLOBALTEC S.A.C.,GLOBALTEK PERU S.A.C.
IBM DEL PERU S.A.,IBM DEL PERU S.A.C.
INDRA,INDRA SISTEMAS S.A
INDRA SISTEMAS S.A.,INDRA SISTEMAS S.A
CONSORCIO INFINITEK SAC-GENERAL TRADING AND ENGINNERING COMPANY LLC,INFINITEK S.A.C.
INFINITEK SAC,INFINITEK S.A.C.
IMPERIA SOLUCIONES TECNOLÓGICAS S.A.C,INVERSIONES &SOLUCIONES TECNOLOGICAS SAC
HLM SOLUCIONES EN TECNOLOGIA S.A.C.,INVERSIONES &SOLUCIONES TECNOLOGICAS SAC
MULTISERVICIOS E INVERSIONES GENERALES JAPIGG SCRL,INVERSIONES GENERALES EMANSA E.I.R.L
KILOWATT SERVIS SAC,KILOWATT SERVIS S.A.C.
GRUPO DE INVERSIONES TECNOLOGICAS SAC,L.A. INVERSIONES S.A.C.
LA INVERSIONES SAC,L.A. INVERSIONES S.A.C.
"LEON, SILVA & ASOCIADOS-ASESORIA, CONSULTORIA Y SERVICIOS S.A.C.","LEON SILVA & ASOCIADOS-ASESORIA, CONSULTORIA Y SERVICIOS S.A.C."
LINEA & TECNOLOGIA GRAFICA S.A.C,LINEA & TECNOLOGIA GRAFICA SAC
LINES & TECNOLOGIA  GRAFICA  S.A.C.,LINEA & TECNOLOGIA GRAFICA SAC
LINEA & TECNOLOGIA GRAFICA S.A.C.,LINEA & TECNOLOGIA GRAFICA SAC
ANDY JOEL MOGOLLON OCHOA,MOGOLLON OCHOA ANDY JOEL
MORCOM INTERNATIONAL INC.,MORCOM INTERNATIONAL Inc.
NOVA IMPORTACIONES SAC,NOVA IMPORTACIONES
PROTECCIÓN Y RESGUARDO S.A,PROTECCION Y RESGUARDO SA
PROTECCIÓN Y RESGUARDO S.A.,PROTECCION Y RESGUARDO SA
PROTECCIÓN Y RESGUARDO SA (PROTSSA),PROTECCIÓN Y RESGUARDO S.A. (PROTSSA)
PROTSSA,PROTECCIÓN Y RESGUARDO S.A. (PROTSSA)
PROTSSA - PROTECCIÓN Y RESGUARDO S.A.,PROTECCIÓN Y RESGUARDO S.A. (PROTSSA)
ROJO ELECTRONICS E.I.R.L.,ROJO ELECTRONICS E.I.R.L
ROJO ELECTRONICS EIRL,ROJO ELECTRONICS E.I.R.L
Servicio Seguridad Integral Y Policia Particular S.A.C.,SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR S.A.C.
SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR S.A.C,SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR S.A.C.
SERVICIOS GENERALES FELPAR SAC,SERVICIOS GENERALES FELPAR S.A.C
SERVICIOS GENERALES FELPAR S.A.C.,SERVICIOS GENERALES FELPAR S.A.C
SERVICIOS TIME S.A.C,SERVICIOS TIME S.A.C.
SUNIX TECH S.A.C.,SUNIX TECH SAC
CONSORCIO VMI SISTEMAS DE SEGURANCA LTDA Y SUNIX TECH SAC,SUNIX TECH SAC
TECNIASES S.A.,TECNISAN EIRL
TECNOLOGIAS ECOLOGICAS PRISMA S.A.C.,TECNOLOGIAS ECOLOGICAS PRISMA SAC
TELEFONICA DEL PERU S.A.A.,TELEFONICA DEL PERU SAA
TELEFONICA DELPERU,TELEFONICA DEL PERU SAA
TELEFONICA DEL PERU S.A.,TELEFONICA DEL PERU SAA
Telefonica del Peru S.A.A.,TELEFONICA DEL PERU SAA
NEOX CORPORATION S.A.C.,TRANSOCEANICA CORPORATION
TRANSPORTE FELIPE J HUANCA ALVITEZ EIRL,TRANSPORTES FELIPE J HUANCA ALVITEZ EIRL
TRANSPORTES FELIPE J HUANCA ALVITEZ SRL,TRANSPORTES FELIPE J HUANCA ALVITEZ EIRL
TRANSPORTES FELIPE J. HUANCA ALVITEZ EIRL,TRANSPORTES FELIPE J HUANCA ALVITEZ EIRL
TRANSPORTES FELIPE J HUANCA ALVITES SRL,TRANSPORTES FELIPE J HUANCA ALVITEZ EIRL
TRANSPORTES KOOCHOY,TRANSPORTES KOOCHOY S.A.
AEROTRANSPORTE S.A.,TRANSPORTES PAJUELO Y CIA SRL
TRANSPORTES PAJUELO & CIA S.R.L.,TRANSPORTES PAJUELO Y CIA SRL
TRANSPORTES PAJUELO Y CIA S.R.L.LTDA,TRANSPORTES PAJUELO Y CIA. SRLTDA.
AERO TRANSPORTE SA,TRANSPORTES PAJUELO Y CIA. SRLTDA.
QUANTUM CONSULTORES Y VERA AUDITORES Y ASOCIADOS SCRL,VERA AUDITORES Y ASOCIADOS S.R.L.
VERIFICACION Y CONTROL DE DATOS E.I.R.L.,VERIFICACION Y CONTROL DE DATOS SAC - VECODATA SAC
VERIFICACION Y CONTROL DE DATOS SAC,VERIFICACION Y CONTROL DE DATOS SAC - VECODATA SAC
VERIFICACION Y CONTROL DE DATOS S.A.C.,VERIFICACION Y CONTROL DE DATOS SAC - VECODATA SAC
VERIFICACION Y CONTROL DE DATOS SAC  - VECODATA SAC,VERIFICACION Y CONTROL DE DATOS SAC - VECODATA SAC
VERIFICACION Y CONTROL DE DATOS S.A.C. - VECODATA S.A.C.,VERIFICACION Y CONTROL DE DATOS SAC - VECODATA SAC
VIETTEL PERU S.A.C,VIETTEL PERU SAC
VIETTEL PERÚ SAC,VIETTEL PERU SAC
WILBER ANDRES AYALA AMESQUITA,WILBER ANDRÉS AYALA AMESQUITA
