ANIO,TRIMESTRE,RUBRO,MONTO
2009,1,PASAJES,208956.0
2009,1,PUBLICIDAD,0.0
2009,1,TELEFONIA,19477.0
2009,1,VEHICULOS,221934.0
2009,1,VIATICOS,401107.0
2009,2,PASAJES,183832.0
2009,2,PUBLICIDAD,0.0
2009,2,TELEFONIA,17637.0
2009,2,VEHICULOS,304162.0
2009,2,VIATICOS,405387.0
2009,3,PASAJES,251993.0
2009,3,PUBLICIDAD,0.0
2009,3,TELEFONIA,17831.0
2009,3,VEHICULOS,246001.0
2009,3,VIATICOS,493685.0
2009,4,PASAJES,221277.0
2009,4,PUBLICIDAD,0.0
2009,4,TELEFONIA,19211.0
2009,4,VEHICULOS,262462.0
2009,4,VIATICOS,446845.0
2010,1,PASAJES,179815.0
2010,1,PUBLICIDAD,0.0
2010,1,TELEFONIA,73233.0
2010,1,VEHICULOS,208669.0
2010,1,VIATICOS,361854.0
2010,2,PASAJES,205606.0
2010,2,PUBLICIDAD,0.0
2010,2,TELEFONIA,43842.0
2010,2,VEHICULOS,251287.0
2010,2,VIATICOS,447178.0
2010,3,PASAJES,116810.0
2010,3,PUBLICIDAD,0.0
2010,3,TELEFONIA,47313.0
2010,3,VEHICULOS,356878.0
2010,3,VIATICOS,402715.0
2010,4,PASAJES,205900.0
2010,4,TELEFONIA,41050.0
2010,4,VEHICULOS,307510.0
2010,4,VIATICOS,459191.0
2011,1,PASAJES,101074.0
2011,1,PUBLICIDAD,0.0
2011,1,TELEFONIA,75970.0
2011,1,VEHICULOS,185574.0
2011,1,VIATICOS,259796.0
2011,2,PASAJES,174657.0
2011,2,PUBLICIDAD,0.0
2011,2,TELEFONIA,79720.0
2011,2,VEHICULOS,301034.0
2011,2,VIATICOS,410459.0
2011,3,PASAJES,203403.0
2011,3,PUBLICIDAD,0.0
2011,3,TELEFONIA,64438.0
2011,3,VEHICULOS,273219.0
2011,3,VIATICOS,360778.0
2011,4,PASAJES,297435.0
2011,4,PUBLICIDAD,41.01733291936146
